case,group,symbol,stage,report,from,to,model,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
combo-all-atr100-rr400,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-atr100-rr400.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12752.72,2752.72,27.53,1.23,44.26,14.92,183,2.03,1.26,98%,1.22,1.44
combo-all-atr150-rr400,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-atr150-rr400.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13174.1,3174.1,31.74,1.46,51.59,9.0,126,2.2,2.47,98%,1.89,3.11
combo-all-signal010-rr400,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-signal010-rr400.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13188.57,3188.57,31.89,1.44,47.93,10.45,121,2.11,2.11,98%,1.7,2.59
combo-h1-atr150-rr100,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-h1-atr150-rr100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,14354.2,4354.2,43.54,1.1,62.26,22.88,938,1.76,1.4,98%,1.4,1.46
combo-h1-atr150-rr170,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-h1-atr150-rr170.htm,2023.09.01,2025.08.31,1,1.00,10000.0,16339.16,6339.16,63.39,1.15,52.83,29.94,689,2.04,1.41,98%,1.76,1.44
combo-h1-atr150-rr250,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-h1-atr150-rr250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,16123.32,6123.32,61.23,1.14,43.32,38.52,561,1.68,0.88,98%,1.41,0.89
combo-h1-atr150-rr300,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-h1-atr150-rr300.htm,2023.09.01,2025.08.31,1,1.00,10000.0,17361.03,7361.03,73.61,1.17,42.77,29.31,519,1.88,1.44,98%,1.62,1.47
combo-m30-atr150-rr100,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-m30-atr150-rr100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9224.1,-775.9,-7.76,0.99,57.25,25.69,1670,-0.26,-0.25,98%,-0.22,-0.26
combo-m30-atr150-rr170,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-m30-atr150-rr170.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13039.33,3039.33,30.39,1.04,48.6,26.59,1288,0.74,0.68,98%,0.63,0.71
combo-m30-atr150-rr250,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-m30-atr150-rr250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13128.59,3128.59,31.29,1.04,42.11,24.26,1052,0.68,0.78,98%,0.6,0.81
combo-m30-atr150-rr300,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-m30-atr150-rr300.htm,2023.09.01,2025.08.31,1,1.00,10000.0,16097.83,6097.83,60.98,1.07,41.23,24.35,992,1.15,1.24,98%,0.98,1.25
manage-dynamic6020-only-safe,safe-filter,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-manage-dynamic6020-only-safe.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11291.31,1291.31,12.91,1.83,57.5,3.96,40,2.68,2.77,98%,1.76,3.69
